Date,Bike.Count,Registered.Users,Casual.Users,Total.Dist,Total.Duration,Year,Month,Day,Temp_High,Temp_Avg,Temp_Low,Dew_High,Dew_Avg,Dew_Low,Hum_High,Hum_Avg,Hum_Low,Pres_High,Pres_Avg,Pres_Low,Vis_High,Vis_Avg,Vis_Low,Wind_Avg,Rain_Inches,Rain,Fog,Snow,Thunderstorm,Weekday,Is.Weekend,Is.Holiday
2017-03-12,4621,3346,1275,8269007.721334689,4713539635,2017,March,12,43,35,27,12,9,6,43,35,27,30.47,30.39,30.33,10,10,10,11,0,0,0,0,0,Sunday,TRUE,0
2017-03-13,6470,5621,849,12932518.90958526,5258678847,2017,March,13,46,37,28,32,23,9,96,64,24,30.51,30.32,30.11,10,7,1,10,0.47,1,1,1,0,Monday,FALSE,0
2017-03-14,1583,1472,111,2987593.7504408616,1187514264,2017,March,14,39,33,26,31,27,10,76,61,46,30.06,29.73,29.53,10,6,2,21,0.89,1,1,1,0,Tuesday,FALSE,0
2017-03-15,3359,3269,90,6113649.035894662,2499487114,2017,March,15,33,28,22,12,8,5,52,42,32,30.12,29.92,29.84,10,10,10,18,0,0,0,0,0,Wednesday,FALSE,0
2017-03-16,5179,4798,381,10207273.242568148,3807581518,2017,March,16,42,33,24,17,13,5,55,44,33,30.26,30.18,30.14,10,10,10,11,0,0,0,0,0,Thursday,FALSE,0
2017-03-17,7207,6045,1162,14009514.349909928,6661632754,2017,March,17,52,41,29,36,22,15,70,47,24,30.4,30.31,30.22,10,10,10,6,0.01,1,0,0,0,Friday,FALSE,0
2017-03-18,8245,4527,3718,15832581.631183082,13860947330,2017,March,18,59,50,40,43,40,35,92,73,53,30.22,30.07,29.95,10,9,4,7,0.37,1,0,0,0,Saturday,TRUE,0
2017-03-19,5689,3759,1930,10592288.098342704,6654704716,2017,March,19,54,45,36,41,35,31,92,71,50,30.27,30.18,30.07,10,9,6,14,0.26,1,0,1,0,Sunday,TRUE,0
2017-03-20,9303,7464,1839,18840449.366090935,9070439968,2017,March,20,54,46,37,36,31,26,76,57,38,30.24,30.15,30.03,10,10,10,7,0,0,0,0,0,Monday,FALSE,0
2017-03-21,10612,8717,1895,21259703.996554065,10486772317,2017,March,21,63,55,46,43,38,31,76,61,46,30.03,29.97,29.93,10,10,10,7,0,1,0,0,0,Tuesday,FALSE,0
2017-03-22,8313,7384,929,16786674.50367525,6414711005,2017,March,22,59,48,37,39,18,4,51,34,16,30.49,30.22,29.93,10,10,10,17,0,0,0,0,0,Wednesday,FALSE,0
2017-03-23,8616,7517,1099,17298290.674033694,7319785001,2017,March,23,48,39,30,21,9,3,52,35,17,30.68,30.58,30.5,10,10,10,8,0,0,0,0,0,Thursday,FALSE,0
2017-03-24,9086,7243,1843,18160487.521037508,9558129634,2017,March,24,62,49,36,48,34,22,76,58,39,30.53,30.36,30.17,10,10,4,13,0.13,1,0,0,0,Friday,FALSE,0
2017-03-25,16191,7167,9024,34335832.39327612,33526782275,2017,March,25,78,66,54,55,50,47,77,58,39,30.21,30.17,30.14,10,10,10,9,0,0,0,0,0,Saturday,TRUE,0
2017-03-26,6621,4168,2453,12597411.511012731,9067188320,2017,March,26,56,52,47,47,45,43,100,84,67,30.35,30.28,30.22,10,9,4,12,0,1,0,0,0,Sunday,TRUE,0
2017-03-27,11367,8562,2805,23276984.565243807,14120672700,2017,March,27,76,61,46,58,51,46,100,79,57,30.19,30.05,29.91,10,6,0,5,0.01,1,1,0,0,Monday,FALSE,0
2017-03-28,10444,8622,1822,21502475.28266849,10603595450,2017,March,28,74,66,57,61,57,54,93,73,53,29.96,29.87,29.82,10,10,10,8,0.02,1,0,0,0,Tuesday,FALSE,0
2017-03-29,12787,9791,2996,26591241.122916333,15164268698,2017,March,29,67,60,52,57,45,33,87,60,32,30.2,30.08,29.98,10,10,10,11,0,0,0,0,0,Wednesday,FALSE,0
2017-03-30,10324,8505,1819,21207503.34496524,10243308990,2017,March,30,55,51,46,40,34,30,71,58,45,30.27,30.18,30.05,10,10,10,9,0,0,0,0,0,Thursday,FALSE,0
2017-03-31,3793,3372,421,7355914.0193362525,3086968436,2017,March,31,54,50,45,50,46,39,100,86,71,30.04,29.78,29.64,10,7,2,9,0.96,1,0,0,0,Friday,FALSE,0
